# Sample data for device simulator testing
# Format: voltage_ch0, current_ch1
# Voltage range: 0.5V to 3.3V (simulating ADC readings)
# Current range: -2.5A to +2.5A (simulating current sensor)
1.65, 0.12
1.68, 0.15
1.72, 0.18
1.75, 0.22
1.78, 0.25
1.82, 0.28
1.85, 0.32
1.88, 0.35
1.92, 0.38
1.95, 0.42
1.98, 0.45
2.02, 0.48
2.05, 0.52
2.08, 0.55
2.12, 0.58
2.15, 0.62
2.18, 0.65
2.22, 0.68
2.25, 0.72
2.28, 0.75
2.32, 0.78
2.35, 0.82
2.38, 0.85
2.42, 0.88
2.45, 0.92
2.48, 0.95
2.52, 0.98
2.55, 1.02
2.58, 1.05
2.62, 1.08
2.65, 1.12
2.68, 1.15
2.72, 1.18
2.75, 1.22
2.78, 1.25
2.82, 1.28
2.85, 1.32
2.88, 1.35
2.92, 1.38
2.95, 1.42
2.98, 1.45
3.02, 1.48
3.05, 1.52
3.08, 1.55
3.12, 1.58
3.15, 1.62
3.18, 1.65
3.22, 1.68
3.25, 1.72
3.28, 1.75
3.25, 1.72
3.22, 1.68
3.18, 1.65
3.15, 1.62
3.12, 1.58
3.08, 1.55
3.05, 1.52
3.02, 1.48
2.98, 1.45
2.95, 1.42
2.92, 1.38
2.88, 1.35
2.85, 1.32
2.82, 1.28
2.78, 1.25
2.75, 1.22
2.72, 1.18
2.68, 1.15
2.65, 1.12
2.62, 1.08
2.58, 1.05
2.55, 1.02
2.52, 0.98
2.48, 0.95
2.45, 0.92
2.42, 0.88
2.38, 0.85
2.35, 0.82
2.32, 0.78
2.28, 0.75
2.25, 0.72
2.22, 0.68
2.18, 0.65
2.15, 0.62
2.12, 0.58
2.08, 0.55
2.05, 0.52
2.02, 0.48
1.98, 0.45
1.95, 0.42
1.92, 0.38
1.88, 0.35
1.85, 0.32
1.82, 0.28
1.78, 0.25
1.75, 0.22
1.72, 0.18
1.68, 0.15
1.65, 0.12
1.62, 0.08
1.58, 0.05
1.55, 0.02
1.52, -0.02
1.48, -0.05
1.45, -0.08
1.42, -0.12
1.38, -0.15
1.35, -0.18
1.32, -0.22
1.28, -0.25
1.25, -0.28
1.22, -0.32
1.18, -0.35
1.15, -0.38
1.12, -0.42
1.08, -0.45
1.05, -0.48
1.02, -0.52
0.98, -0.55
0.95, -0.58
0.92, -0.62
0.88, -0.65
0.85, -0.68
0.82, -0.72
0.78, -0.75
0.75, -0.78
0.72, -0.82
0.68, -0.85
0.65, -0.88
0.62, -0.92
0.58, -0.95
0.55, -0.98
0.52, -1.02
0.48, -1.05
0.45, -1.08
0.42, -1.12
0.38, -1.15
0.35, -1.18
0.32, -1.22
0.28, -1.25
0.25, -1.28
0.22, -1.32
0.18, -1.35
0.15, -1.38
0.12, -1.42
0.08, -1.45
0.05, -1.48
0.52, -1.02
0.55, -0.98
0.58, -0.95
0.62, -0.92
0.65, -0.88
0.68, -0.85
0.72, -0.82
0.75, -0.78
0.78, -0.75
0.82, -0.72
0.85, -0.68
0.88, -0.65
0.92, -0.62
0.95, -0.58
0.98, -0.55
1.02, -0.52
1.05, -0.48
1.08, -0.45
1.12, -0.42
1.15, -0.38
1.18, -0.35
1.22, -0.32
1.25, -0.28
1.28, -0.25
1.32, -0.22
1.35, -0.18
1.38, -0.15
1.42, -0.12
1.45, -0.08
1.48, -0.05
1.52, -0.02
1.55, 0.02
1.58, 0.05
1.62, 0.08
